# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Web Edition
# File: C:\Courses\Cpen 391\Systems - ARM and NIOS\DE1\ARM_DE1Soc\verilog\DE1_SoC_Computer.csv
# Generated on: Wed Nov 23 11:19:29 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
CLOCK2_50,Input,PIN_AA16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Input,PIN_Y26,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Input,PIN_K14,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_AJ14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AH13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_AG12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_AG13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_AH15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AF15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_AD14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AC14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_AB15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_AE14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_AG15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_AH14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_AK14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AJ12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_AF13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Output,PIN_AF11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Output,PIN_AK13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Output,PIN_AH12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CS_N,Output,PIN_AG11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[15],Bidir,PIN_AJ5,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[14],Bidir,PIN_AJ6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[13],Bidir,PIN_AH7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[12],Bidir,PIN_AH8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[11],Bidir,PIN_AH9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[10],Bidir,PIN_AJ9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[9],Bidir,PIN_AJ10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[8],Bidir,PIN_AH10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[7],Bidir,PIN_AJ11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[6],Bidir,PIN_AK11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[5],Bidir,PIN_AG10,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[4],Bidir,PIN_AK9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[3],Bidir,PIN_AK8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[2],Bidir,PIN_AK7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[1],Bidir,PIN_AJ7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_DQ[0],Bidir,PIN_AK6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_LDQM,Output,PIN_AB13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_RAS_N,Output,PIN_AE13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_UDQM,Output,PIN_AK12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AA13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[35],Bidir,PIN_AJ21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[34],Bidir,PIN_AG18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[33],Bidir,PIN_AG20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[32],Bidir,PIN_AF18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[31],Bidir,PIN_AG21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[30],Bidir,PIN_AF19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Bidir,PIN_AF21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Bidir,PIN_AF20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Bidir,PIN_AE19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Bidir,PIN_AE18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Bidir,PIN_AD20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Bidir,PIN_AD19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Bidir,PIN_AK21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Bidir,PIN_AH20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Bidir,PIN_AJ20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Bidir,PIN_AH19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],Bidir,PIN_AC20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],Bidir,PIN_AE17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],Bidir,PIN_AA19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],Bidir,PIN_AA18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],Bidir,PIN_AG17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],Bidir,PIN_AF16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],Bidir,PIN_AE16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],Bidir,PIN_AG16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],Bidir,PIN_AH17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],Bidir,PIN_AH18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Bidir,PIN_AJ16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Bidir,PIN_AJ17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Bidir,PIN_AJ19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Bidir,PIN_AK19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Bidir,PIN_AK18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Bidir,PIN_AK16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Bidir,PIN_Y18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Bidir,PIN_AD17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Bidir,PIN_Y17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],Bidir,PIN_AC18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[35],Bidir,PIN_AC22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[34],Bidir,PIN_AA20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[33],Bidir,PIN_AD21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[32],Bidir,PIN_AE22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[31],Bidir,PIN_AF23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[30],Bidir,PIN_AF24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[29],Bidir,PIN_AG22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[28],Bidir,PIN_AH22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[27],Bidir,PIN_AJ22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[26],Bidir,PIN_AK22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[25],Bidir,PIN_AH23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[24],Bidir,PIN_AK23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[23],Bidir,PIN_AG23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[22],Bidir,PIN_AK24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[21],Bidir,PIN_AJ24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[20],Bidir,PIN_AJ25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[19],Bidir,PIN_AH25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[18],Bidir,PIN_AK26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[17],Bidir,PIN_AJ26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[16],Bidir,PIN_AK27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[15],Bidir,PIN_AK28,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[14],Bidir,PIN_AK29,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[13],Bidir,PIN_AJ27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[12],Bidir,PIN_AH27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[11],Bidir,PIN_AH24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[10],Bidir,PIN_AG26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[9],Bidir,PIN_AG25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[8],Bidir,PIN_AF26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[7],Bidir,PIN_AF25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[6],Bidir,PIN_AE24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[5],Bidir,PIN_AE23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[4],Bidir,PIN_AD24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[3],Bidir,PIN_AC23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[2],Bidir,PIN_AB21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[1],Bidir,PIN_AA21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_1[0],Bidir,PIN_AB17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Output,PIN_AH28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Output,PIN_AG28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Output,PIN_AF28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Output,PIN_AG27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Output,PIN_AE28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[1],Output,PIN_AE27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Output,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Output,PIN_AD27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Output,PIN_AF30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Output,PIN_AF29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Output,PIN_AG30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Output,PIN_AH30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Output,PIN_AH29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Output,PIN_AJ29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Output,PIN_AC30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Output,PIN_AC29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Output,PIN_AD30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Output,PIN_AC28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Output,PIN_AD29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Output,PIN_AE29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Output,PIN_AB23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Output,PIN_AB22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Output,PIN_AB25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
